"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Start Date","PSI 90 End Date","PSI 90 W Z Score","PSI 90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
CAPITAL HEALTH REGIONAL MEDICAL CENTER,310092,NJ,2022,07/01/2018,12/31/2019,0.5700,,-0.4270,,0.0370,,-1.3575,,-0.4014,,-1.1178,,01/01/2019,12/31/2019,-0.4495,,No,
SAINT MICHAEL'S MEDICAL CENTER,310096,NJ,2022,07/01/2018,12/31/2019,-0.8511,,-0.6279,,-0.1661,,-1.3575,,0.9921,,0.0279,,01/01/2019,12/31/2019,-0.3304,,No,
JFK MEDICAL CENTER,310108,NJ,2022,07/01/2018,12/31/2019,0.6568,,-0.7165,,0.5739,,-0.0325,,-0.2238,,0.4671,,01/01/2019,12/31/2019,0.1208,,No,
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT HAMILTON,310110,NJ,2022,07/01/2018,12/31/2019,-1.2078,,-1.2914,,1.5794,,-1.3575,,-0.3476,,1.1766,,01/01/2019,12/31/2019,-0.2414,,No,
CENTRASTATE MEDICAL CENTER,310111,NJ,2022,07/01/2018,12/31/2019,2.3958,,-0.2046,,1.2757,,0.1333,,-0.5610,,-0.4144,,01/01/2019,12/31/2019,0.4375,,Yes,
BAYSHORE MEDICAL CENTER,310112,NJ,2022,07/01/2018,12/31/2019,-0.7638,,-0.7617,,0.0812,,0.5479,,-1.4021,,-0.5741,,01/01/2019,12/31/2019,-0.4788,,No,
SOUTHERN OCEAN MEDICAL CENTER,310113,NJ,2022,07/01/2018,12/31/2019,0.4565,,-0.0037,,-0.1983,,-0.5351,,1.5086,,-1.5232,,01/01/2019,12/31/2019,-0.0492,,No,
HACKETTSTOWN MEDICAL CENTER,310115,NJ,2022,07/01/2018,12/31/2019,0.7826,,N/A,5,N/A,5,N/A,5,N/A,5,0.9739,,01/01/2019,12/31/2019,0.8783,,Yes,
HUDSON REGIONAL HOSPITAL,310118,NJ,2022,07/01/2018,12/31/2019,-0.5491,,N/A,5,N/A,5,N/A,5,N/A,5,-0.7676,,01/01/2019,12/31/2019,-0.6584,,No,
THE UNIVERSITY HOSPITAL,310119,NJ,2022,07/01/2018,12/31/2019,0.5809,,1.9612,,0.5739,,1.2603,,0.2855,,0.6576,,01/01/2019,12/31/2019,0.8866,,Yes,
HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,310130,NJ,2022,07/01/2018,12/31/2019,-0.4122,,N/A,5,-0.1219,,-1.3575,,N/A,5,-0.2301,,01/01/2019,12/31/2019,-0.5304,,No,
UNM HOSPITAL,320001,NM,2022,07/01/2018,12/31/2019,1.3776,,-0.2223,,0.0169,,2.0963,,-0.1700,,1.4224,,01/01/2019,12/31/2019,0.7535,,Yes,
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,320002,NM,2022,07/01/2018,12/31/2019,-1.4951,,1.8923,,1.2476,,-0.7128,,-0.2113,,0.0678,,01/01/2019,12/31/2019,0.1314,,No,
ALTA VISTA REGIONAL HOSPITAL,320003,NM,2022,07/01/2018,12/31/2019,-0.2365,,N/A,5,N/A,5,N/A,5,N/A,5,0.0586,,01/01/2019,12/31/2019,-0.0889,,No,
GERALD CHAMPION REGIONAL MEDICAL CENTER,320004,NM,2022,07/01/2018,12/31/2019,-0.0023,,-1.2914,,0.3989,,N/A,5,N/A,5,1.0016,,01/01/2019,12/31/2019,0.0267,,No,
SAN JUAN REGIONAL MEDICAL CENTER INC,320005,NM,2022,07/01/2018,12/31/2019,2.3958,,-0.8366,,-0.7614,,-0.1916,,-1.4021,,-0.3653,,01/01/2019,12/31/2019,-0.1935,,No,
EASTERN NEW MEXICO MEDICAL CENTER,320006,NM,2022,07/01/2018,12/31/2019,-1.1755,,-1.2914,,-0.8499,,N/A,5,N/A,5,1.5299,,01/01/2019,12/31/2019,-0.4467,,No,
LOVELACE MEDICAL CENTER,320009,NM,2022,07/01/2018,12/31/2019,1.6406,,-0.0766,,-0.7815,,-1.3575,,-1.4021,,-0.3346,,01/01/2019,12/31/2019,-0.3853,,No,
PRESBYTERIAN ESPANOLA HOSPITAL,320011,NM,2022,07/01/2018,12/31/2019,-0.2887,,N/A,5,N/A,5,N/A,5,N/A,5,1.6405,,01/01/2019,12/31/2019,0.6759,,Yes,
LOVELACE WOMEN'S HOSPITAL,320017,NM,2022,07/01/2018,12/31/2019,-0.8063,,-0.5176,,0.6020,,0.6291,,0.0793,,-0.3407,,01/01/2019,12/31/2019,-0.0590,,No,
MEMORIAL MEDICAL CENTER,320018,NM,2022,07/01/2018,12/31/2019,2.0128,,-0.8247,,0.2542,,0.1841,,-1.4021,,-1.2990,,01/01/2019,12/31/2019,-0.1791,,No,
PRESBYTERIAN HOSPITAL,320021,NM,2022,07/01/2018,12/31/2019,-0.7217,,0.7622,,2.1907,,0.4752,,0.6603,,1.0415,,01/01/2019,12/31/2019,0.7347,,Yes,
PLAINS REGIONAL MEDICAL CENTER,320022,NM,2022,07/01/2018,12/31/2019,0.7977,,N/A,5,0.3527,,0.8914,,N/A,5,1.6220,,01/01/2019,12/31/2019,0.9160,,Yes,
ARTESIA GENERAL HOSPITAL,320030,NM,2022,07/01/2018,12/31/2019,1.3206,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,1.3206,,Yes,
LOS ALAMOS MEDICAL CENTER,320033,NM,2022,07/01/2018,12/31/2019,0.1953,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,1.1390,,Yes,
REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,320038,NM,2022,07/01/2018,12/31/2019,-0.4805,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,0.8012,,Yes,
SANTA FE PHS INDIAN HOSPITAL,320057,NM,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
MESCALERO PHS INDIAN HOSPITAL,320058,NM,2022,07/01/2018,12/31/2019,0.1227,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1227,,No,
NORTHERN NAVAJO MEDICAL CENTER,320059,NM,2022,07/01/2018,12/31/2019,-0.2479,,N/A,5,N/A,5,N/A,5,N/A,5,-0.8045,,01/01/2019,12/31/2019,-0.5262,,No,
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,320060,NM,2022,07/01/2018,12/31/2019,0.0685,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0685,,No,
GALLUP INDIAN MEDICAL CENTER,320061,NM,2022,07/01/2018,12/31/2019,1.2111,,N/A,5,N/A,5,N/A,5,N/A,5,-0.3837,,01/01/2019,12/31/2019,0.4137,,Yes,
CROWNPOINT PHS INDIAN HOSPITAL,320062,NM,2022,07/01/2018,12/31/2019,0.0677,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0677,,No,
CARLSBAD MEDICAL CENTER,320063,NM,2022,07/01/2018,12/31/2019,-0.7243,,N/A,5,N/A,5,N/A,5,N/A,5,1.6712,,01/01/2019,12/31/2019,0.4734,,Yes,
COVENANT HEALTH HOBBS HOSPITAL,320065,NM,2022,07/01/2018,12/31/2019,-0.4767,,N/A,5,N/A,5,N/A,5,N/A,5,0.3412,,01/01/2019,12/31/2019,-0.0678,,No,
GUADALUPE COUNTY HOSPITAL,320067,NM,2022,07/01/2018,12/31/2019,0.0872,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0872,,No,
ACOMA-CANONCITO-LAGUNA IHS HOSPITAL,320070,NM,2022,07/01/2018,12/31/2019,0.1008,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1008,,No,
LOVELACE WESTSIDE HOSPITAL,320074,NM,2022,07/01/2018,12/31/2019,0.8828,,N/A,5,N/A,5,N/A,5,N/A,5,2.0828,,01/01/2019,12/31/2019,1.4828,,Yes,
ROOSEVELT GENERAL HOSPITAL,320084,NM,2022,07/01/2018,12/31/2019,0.3396,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.3396,,Yes,
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,2022,07/01/2018,12/31/2019,2.3958,,1.1008,,-0.3592,,0.0335,,1.4566,,-1.1362,,01/01/2019,12/31/2019,0.5819,,Yes,
LOVELACE REGIONAL HOSPITAL - ROSWELL,320086,NM,2022,07/01/2018,12/31/2019,-0.6295,,N/A,5,N/A,5,N/A,5,N/A,5,0.8265,,01/01/2019,12/31/2019,0.0985,,No,
UNM SANDOVAL REGIONAL MEDICAL CENTER,320089,NM,2022,07/01/2018,12/31/2019,0.2859,,-1.2914,,1.9936,,-1.3575,,N/A,5,0.6299,,01/01/2019,12/31/2019,0.0521,,No,
PRESBYTERIAN SANTA FE MEDICAL CENTER,320090,NM,2022,07/01/2018,12/31/2019,-0.1090,,N/A,5,N/A,5,N/A,5,N/A,5,1.3640,,01/01/2019,12/31/2019,0.6275,,Yes,
THREE CROSSES REGIONAL HOSPITAL LLC,320091,NM,2022,07/01/2018,12/31/2019,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,N/A,5,No,
KALEIDA HEALTH,330005,NY,2022,07/01/2018,12/31/2019,1.7936,,0.0337,,0.1355,,-0.3506,,1.0603,,0.8480,,01/01/2019,12/31/2019,0.5867,,Yes,
ST JOSEPH'S MEDICAL CENTER,330006,NY,2022,07/01/2018,12/31/2019,1.5533,,0.0356,,N/A,5,N/A,5,N/A,5,-0.6601,,01/01/2019,12/31/2019,0.3096,,Yes,
WYOMING COUNTY COMMUNITY HOSPITAL,330008,NY,2022,07/01/2018,12/31/2019,-0.2413,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9514,,No,
BRONX HEALTH SYSTEM,330009,NY,2022,07/01/2018,12/31/2019,2.3958,,1.5497,,0.4733,,-0.0934,,-0.3171,,0.2337,,01/01/2019,12/31/2019,0.7070,,Yes,
OUR LADY OF LOURDES MEMORIAL HOSPITAL,330011,NY,2022,07/01/2018,12/31/2019,1.9931,,0.8803,,-0.2285,,1.5480,,-0.6848,,0.7497,,01/01/2019,12/31/2019,0.7096,,Yes,
ALBANY MEDICAL CENTER HOSPITAL,330013,NY,2022,07/01/2018,12/31/2019,1.3937,,-0.1731,,0.4532,,0.3516,,-0.2023,,0.1415,,01/01/2019,12/31/2019,0.3274,,Yes,
JAMAICA HOSPITAL MEDICAL CENTER,330014,NY,2022,07/01/2018,12/31/2019,2.1973,,-0.0372,,0.8333,,-0.7737,,0.3823,,0.1415,,01/01/2019,12/31/2019,0.4573,,Yes,
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",330019,NY,2022,07/01/2018,12/31/2019,0.2530,,N/A,5,-0.2084,,N/A,5,0.5832,,2.0828,,01/01/2019,12/31/2019,0.6777,,Yes,
VASSAR BROTHERS MEDICAL CENTER,330023,NY,2022,07/01/2018,12/31/2019,2.1975,,-0.0589,,0.2702,,-0.6315,,-1.4021,,0.2429,,01/01/2019,12/31/2019,0.1030,,No,
MOUNT SINAI HOSPITAL,330024,NY,2022,07/01/2018,12/31/2019,-0.5480,,1.3252,,-0.5362,,0.0707,,0.6406,,-0.1718,,01/01/2019,12/31/2019,0.1301,,No,
NASSAU UNIVERSITY MEDICAL CENTER,330027,NY,2022,07/01/2018,12/31/2019,2.3958,,1.5320,,-0.7875,,N/A,5,-0.4785,,-0.5311,,01/01/2019,12/31/2019,0.4261,,Yes,
RICHMOND UNIVERSITY MEDICAL CENTER,330028,NY,2022,07/01/2018,12/31/2019,0.1024,,0.0750,,0.0028,,2.0963,,2.0377,,1.6220,,01/01/2019,12/31/2019,0.9894,,Yes,
NEWARK-WAYNE COMMUNITY HOSPITAL,330030,NY,2022,07/01/2018,12/31/2019,-0.5488,,-1.2914,,-1.4169,,-1.3575,,N/A,5,0.1108,,01/01/2019,12/31/2019,-0.9008,,No,
CHENANGO MEMORIAL HOSPITAL,330033,NY,2022,07/01/2018,12/31/2019,0.2829,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.6893,,No,
NS/LIJ HS SOUTHSIDE HOSPITAL,330043,NY,2022,07/01/2018,12/31/2019,-1.1539,,-0.3404,,-0.4135,,0.0673,,0.8128,,-0.5219,,01/01/2019,12/31/2019,-0.2583,,No,
FAXTON-ST LUKE'S HEALTHCARE,330044,NY,2022,07/01/2018,12/31/2019,2.3958,,2.1167,,-0.0777,,0.4328,,1.7023,,1.7664,,01/01/2019,12/31/2019,1.3894,,Yes,
NS/LIJ HS HUNTINGTON HOSPITAL,330045,NY,2022,07/01/2018,12/31/2019,-1.4951,,-1.2914,,-0.7212,,-0.4217,,-1.4021,,-0.1042,,01/01/2019,12/31/2019,-0.9059,,No,
MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL,330046,NY,2022,07/01/2018,12/31/2019,-0.8679,,0.4038,,-0.6427,,0.8001,,-0.0768,,-1.2622,,01/01/2019,12/31/2019,-0.2743,,No,
ST MARY'S HEALTHCARE,330047,NY,2022,07/01/2018,12/31/2019,0.4396,,0.3408,,0.5558,,0.1181,,N/A,5,2.0828,,01/01/2019,12/31/2019,0.7074,,Yes,
NORTHERN DUTCHESS HOSPITAL,330049,NY,2022,07/01/2018,12/31/2019,0.1681,,-1.2914,,-1.4169,,N/A,5,N/A,5,-0.2455,,01/01/2019,12/31/2019,-0.6964,,No,
NEW YORK-PRESBYTERIAN/QUEENS,330055,NY,2022,07/01/2018,12/31/2019,-0.3848,,-1.1024,,-0.0354,,-1.0918,,-0.6148,,-0.6571,,01/01/2019,12/31/2019,-0.6477,,No,
BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,330056,NY,2022,07/01/2018,12/31/2019,1.8625,,-0.9291,,-1.2018,,-0.6688,,-0.4373,,-1.1239,,01/01/2019,12/31/2019,-0.4164,,No,
ST PETER'S HOSPITAL,330057,NY,2022,07/01/2018,12/31/2019,0.8291,,-0.6062,,0.3728,,0.5327,,-0.9448,,0.2982,,01/01/2019,12/31/2019,0.0803,,No,
FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL,330058,NY,2022,07/01/2018,12/31/2019,1.2105,,0.0396,,0.4170,,1.4668,,N/A,5,0.1784,,01/01/2019,12/31/2019,0.6625,,Yes,
MONTEFIORE MEDICAL CENTER,330059,NY,2022,07/01/2018,12/31/2019,2.3958,,0.9275,,1.0967,,1.7121,,0.6227,,1.1429,,01/01/2019,12/31/2019,1.3163,,Yes,
NIAGARA FALLS MEMORIAL MEDICAL CENTER,330065,NY,2022,07/01/2018,12/31/2019,-0.5362,,-1.2914,,-0.5000,,N/A,5,0.3716,,-0.5711,,01/01/2019,12/31/2019,-0.5054,,No,
UNITED MEMORIAL MEDICAL CENTER,330073,NY,2022,07/01/2018,12/31/2019,-0.4585,,N/A,5,1.3602,,N/A,5,N/A,5,-0.0550,,01/01/2019,12/31/2019,0.2822,,No,
F F THOMPSON HOSPITAL,330074,NY,2022,07/01/2018,12/31/2019,-0.4003,,-0.2853,,0.0088,,-0.5655,,-1.4021,,-0.2363,,01/01/2019,12/31/2019,-0.4801,,No,
SISTERS OF CHARITY HOSPITAL,330078,NY,2022,07/01/2018,12/31/2019,0.4752,,-0.8051,,-0.9524,,-0.6231,,-0.6543,,0.1845,,01/01/2019,12/31/2019,-0.3958,,No,
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,330079,NY,2022,07/01/2018,12/31/2019,-0.9556,,N/A,5,N/A,5,0.7442,,N/A,5,2.0828,,01/01/2019,12/31/2019,0.6238,,Yes,
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,2022,07/01/2018,12/31/2019,1.7981,,0.0002,,-1.0409,,0.6647,,0.9042,,-0.8536,,01/01/2019,12/31/2019,0.2454,,No,
ALICE HYDE MEDICAL CENTER,330084,NY,2022,07/01/2018,12/31/2019,-0.2225,,N/A,5,N/A,5,N/A,5,N/A,5,-1.6615,,01/01/2019,12/31/2019,-0.9420,,No,
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,2022,07/01/2018,12/31/2019,-0.5026,,N/A,5,-1.4169,,N/A,5,N/A,5,1.5913,,01/01/2019,12/31/2019,-0.1094,,No,
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,2022,07/01/2018,12/31/2019,-0.4218,,N/A,5,N/A,5,N/A,5,N/A,5,0.6299,,01/01/2019,12/31/2019,0.1041,,No,
ARNOT OGDEN MEDICAL CENTER,330090,NY,2022,07/01/2018,12/31/2019,1.6905,,1.0181,,0.4251,,-0.3743,,-1.4021,,-1.2437,,01/01/2019,12/31/2019,0.0189,,No,
COLUMBIA MEMORIAL HOSPITAL,330094,NY,2022,07/01/2018,12/31/2019,1.7583,,-1.2914,,-0.1963,,0.8999,,2.1722,,2.0828,,01/01/2019,12/31/2019,0.9042,,Yes,
JONES MEMORIAL HOSPITAL,330096,NY,2022,07/01/2018,12/31/2019,-0.2912,,N/A,5,N/A,5,N/A,5,N/A,5,-0.7001,,01/01/2019,12/31/2019,-0.4956,,No,
NY EYE AND EAR INFIRMARY OF MOUNT SINAI,330100,NY,2022,07/01/2018,12/31/2019,0.0438,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.0438,,No,
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,2022,07/01/2018,12/31/2019,2.0132,,0.5909,,0.2280,,0.5716,,0.0021,,0.4487,,01/01/2019,12/31/2019,0.6424,,Yes,
KENMORE MERCY HOSPITAL,330102,NY,2022,07/01/2018,12/31/2019,-0.8963,,-1.2914,,-0.2848,,0.1824,,-1.4021,,1.1244,,01/01/2019,12/31/2019,-0.4280,,No,
OLEAN GENERAL HOSPITAL,330103,NY,2022,07/01/2018,12/31/2019,0.0570,,1.1579,,-0.2606,,2.0963,,1.5911,,1.6282,,01/01/2019,12/31/2019,1.0450,,Yes,
NYACK HOSPITAL,330104,NY,2022,07/01/2018,12/31/2019,1.8278,,-1.2914,,-0.9162,,-1.3575,,-1.4021,,-0.7861,,01/01/2019,12/31/2019,-0.6543,,No,
NORTH SHORE UNIVERSITY HOSPITAL,330106,NY,2022,07/01/2018,12/31/2019,-1.4951,,-0.1671,,-0.4919,,0.0453,,0.4738,,-0.2977,,01/01/2019,12/31/2019,-0.3221,,No,
PECONIC BAY MEDICAL CENTER,330107,NY,2022,07/01/2018,12/31/2019,-1.3450,,-1.2914,,-0.1179,,-1.3575,,-1.4021,,1.0354,,01/01/2019,12/31/2019,-0.7464,,No,
BERTRAND CHAFFEE HOSPITAL,330111,NY,2022,07/01/2018,12/31/2019,-0.0148,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.0148,,No,
ONEIDA HEALTH HOSPITAL,330115,NY,2022,07/01/2018,12/31/2019,0.1316,,N/A,5,N/A,5,2.0963,,N/A,5,-1.6615,,01/01/2019,12/31/2019,0.1888,,No,
LENOX HILL HOSPITAL,330119,NY,2022,07/01/2018,12/31/2019,-1.4951,,-0.0096,,0.2119,,-0.7821,,-0.3655,,-0.1134,,01/01/2019,12/31/2019,-0.4256,,No,
ROCHESTER GENERAL HOSPITAL,330125,NY,2022,07/01/2018,12/31/2019,0.2839,,-0.1849,,0.0028,,-0.0443,,0.5868,,-0.1656,,01/01/2019,12/31/2019,0.0798,,No,
GARNET HEALTH MEDICAL CENTER,330126,NY,2022,07/01/2018,12/31/2019,0.2257,,2.0951,,-0.5000,,0.9930,,1.1195,,0.8787,,01/01/2019,12/31/2019,0.8020,,Yes,
JACOBI MEDICAL CENTER,330127,NY,2022,07/01/2018,12/31/2019,-0.5410,,1.2406,,-0.2687,,2.0963,,0.1026,,-0.1718,,01/01/2019,12/31/2019,0.4097,,Yes,
ELMHURST HOSPITAL CENTER,330128,NY,2022,07/01/2018,12/31/2019,-0.2912,,0.8586,,0.0913,,2.0963,,1.6934,,-0.4021,,01/01/2019,12/31/2019,0.6744,,Yes,
BON SECOURS COMMUNITY HOSPITAL,330135,NY,2022,07/01/2018,12/31/2019,-0.1719,,N/A,5,N/A,5,N/A,5,N/A,5,-0.9120,,01/01/2019,12/31/2019,-0.5419,,No,
BASSETT HEALTHCARE,330136,NY,2022,07/01/2018,12/31/2019,2.3958,,0.0238,,2.1907,,0.2230,,0.6926,,0.7866,,01/01/2019,12/31/2019,1.0521,,Yes,
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,2022,07/01/2018,12/31/2019,0.7171,,-0.9763,,0.1677,,-0.2982,,-0.9717,,-0.3192,,01/01/2019,12/31/2019,-0.2801,,No,
LONG ISLAND COMMUNITY HOSPITAL,330141,NY,2022,07/01/2018,12/31/2019,-0.8007,,2.2329,,-0.0153,,-1.3575,,-1.0452,,0.6268,,01/01/2019,12/31/2019,-0.0598,,No,
IRA DAVENPORT MEMORIAL HOSPITAL,330144,NY,2022,07/01/2018,12/31/2019,0.1091,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1091,,No,
ST JAMES MERCY HOSPITAL,330151,NY,2022,07/01/2018,12/31/2019,-0.2080,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,-0.2080,,No,
ELLIS HOSPITAL,330153,NY,2022,07/01/2018,12/31/2019,2.3958,,-0.3640,,0.8474,,0.7307,,0.2712,,-0.5403,,01/01/2019,12/31/2019,0.5568,,Yes,
SAMARITAN MEDICAL CENTER,330157,NY,2022,07/01/2018,12/31/2019,-0.7847,,-0.2046,,0.3567,,-0.8363,,-1.4021,,0.1323,,01/01/2019,12/31/2019,-0.4564,,No,
GOOD SAMARITAN HOSPITAL OF SUFFERN,330158,NY,2022,07/01/2018,12/31/2019,0.1825,,-0.6023,,-0.2124,,-1.3575,,0.4182,,0.2890,,01/01/2019,12/31/2019,-0.2137,,No,
STATEN ISLAND UNIVERSITY HOSPITAL,330160,NY,2022,07/01/2018,12/31/2019,2.0702,,-0.0195,,0.1536,,-0.7500,,1.0388,,1.0108,,01/01/2019,12/31/2019,0.5840,,Yes,
NORTHERN WESTCHESTER HOSPITAL,330162,NY,2022,07/01/2018,12/31/2019,2.3958,,-0.4270,,-1.4169,,1.1588,,1.7113,,-0.4636,,01/01/2019,12/31/2019,0.4931,,Yes,
EASTERN NIAGARA HOSPITAL,330163,NY,2022,07/01/2018,12/31/2019,2.0051,,N/A,5,0.6000,,N/A,5,-1.4021,,1.3057,,01/01/2019,12/31/2019,0.6272,,Yes,
HIGHLAND HOSPITAL,330164,NY,2022,07/01/2018,12/31/2019,1.1256,,-0.4231,,-0.0113,,0.3093,,0.2819,,0.4456,,01/01/2019,12/31/2019,0.2880,,No,
"WESTFIELD MEMORIAL HOSPITAL, INC",330166,NY,2022,07/01/2018,12/31/2019,0.1115,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2019,12/31/2019,0.1115,,No,
MOUNT SINAI BETH ISRAEL,330169,NY,2022,07/01/2018,12/31/2019,1.1586,,-0.3758,,-0.5261,,0.1621,,-0.4588,,-1.4864,,01/01/2019,12/31/2019,-0.2544,,No,
GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,330175,NY,2022,07/01/2018,12/31/2019,0.5043,,N/A,5,-1.4169,,N/A,5,N/A,5,-0.5803,,01/01/2019,12/31/2019,-0.4976,,No,
"SAMARITAN HOSPITAL OF TROY, NEW YORK",330180,NY,2022,07/01/2018,12/31/2019,0.2332,,0.9708,,0.0390,,-0.1662,,0.4774,,0.1077,,01/01/2019,12/31/2019,0.2770,,No,
NORTHWELL HOSPITAL GLEN COVE,330181,NY,2022,07/01/2018,12/31/2019,0.8853,,N/A,5,0.1355,,N/A,5,N/A,5,-0.7584,,01/01/2019,12/31/2019,0.0875,,No,
ST FRANCIS HOSPITAL - THE HEART CENTER,330182,NY,2022,07/01/2018,12/31/2019,-0.9119,,-0.6574,,-0.3652,,-0.0291,,0.1169,,-0.2731,,01/01/2019,12/31/2019,-0.3533,,No,
MONTEFIORE NEW ROCHELLE HOSPITAL,330184,NY,2022,07/01/2018,12/31/2019,-0.1052,,2.2860,,2.1907,,0.2061,,1.8350,,0.3350,,01/01/2019,12/31/2019,1.1246,,Yes,
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,330185,NY,2022,07/01/2018,12/31/2019,2.3958,,-0.2223,,-0.3290,,1.8729,,1.8046,,0.4640,,01/01/2019,12/31/2019,0.9977,,Yes,
MOUNT ST. MARY'S HOSPITAL & HEALTH CENTER,330188,NY,2022,07/01/2018,12/31/2019,2.3958,,N/A,5,-0.5623,,N/A,5,-1.4021,,-0.9335,,01/01/2019,12/31/2019,-0.1255,,No,
GLENS FALLS HOSPITAL,330191,NY,2022,07/01/2018,12/31/2019,-0.8234,,-0.5235,,-0.5362,,-0.3117,,-1.4021,,-0.3069,,01/01/2019,12/31/2019,-0.6506,,No,
FLUSHING HOSPITAL MEDICAL CENTER,330193,NY,2022,07/01/2018,12/31/2019,2.3958,,1.3705,,-0.5563,,-1.3575,,-0.0463,,-0.6141,,01/01/2019,12/31/2019,0.1987,,No,
MAIMONIDES MEDICAL CENTER,330194,NY,2022,07/01/2018,12/31/2019,2.3958,,1.4434,,1.2134,,0.3347,,0.5653,,0.0678,,01/01/2019,12/31/2019,1.0034,,Yes,
LONG ISLAND JEWISH MEDICAL CENTER,330195,NY,2022,07/01/2018,12/31/2019,0.0132,,-0.6200,,-0.4517,,0.1587,,1.0585,,-0.2670,,01/01/2019,12/31/2019,-0.0181,,No,
NYC HEALTH + HOSPITALS/CONEY ISLAND,330196,NY,2022,07/01/2018,12/31/2019,2.3958,,0.3625,,0.5960,,-0.5368,,-0.0535,,0.3719,,01/01/2019,12/31/2019,0.5227,,Yes,
CANTON-POTSDAM HOSPITAL,330197,NY,2022,07/01/2018,12/31/2019,1.9204,,0.5810,,-1.4169,,2.0963,,N/A,5,2.0828,,01/01/2019,12/31/2019,1.0527,,Yes,
MOUNT SINAI SOUTH NASSAU,330198,NY,2022,07/01/2018,12/31/2019,1.0751,,-0.3266,,0.1637,,0.4244,,-0.9053,,-0.5803,,01/01/2019,12/31/2019,-0.0248,,No,
METROPOLITAN HOSPITAL CENTER,330199,NY,2022,07/01/2018,12/31/2019,-0.0409,,-0.5019,,-0.5643,,N/A,5,-0.0750,,-0.5803,,01/01/2019,12/31/2019,-0.3525,,No,
KINGS COUNTY HOSPITAL CENTER,330202,NY,2022,07/01/2018,12/31/2019,2.3958,,0.2148,,1.1309,,1.7274,,0.1008,,0.0248,,01/01/2019,12/31/2019,0.9324,,Yes,
CROUSE HOSPITAL,330203,NY,2022,07/01/2018,12/31/2019,-0.7754,,1.1402,,-0.3049,,0.0149,,0.1402,,-0.0858,,01/01/2019,12/31/2019,0.0215,,No,
BELLEVUE HOSPITAL CENTER,330204,NY,2022,07/01/2018,12/31/2019,0.8618,,1.3213,,1.5713,,0.8119,,0.1223,,0.0494,,01/01/2019,12/31/2019,0.7897,,Yes,
